"State","% of workforce licensed","Typical license fee low ($)","Typical license fee high ($)","Notes"
"Alabama","20.9","225","525","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Alaska","25.5","265","615","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Arizona","22.3","290","675","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); high-burden state per IJ (licenses 68 of 102 occupations)."
"Arkansas","20.2","160","375","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"California","20.7","310","725","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); high-burden state per IJ (avg fee $517, licenses 75 of 102 occupations)."
"Colorado","17.2","215","495","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Connecticut","24.7","175","405","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Delaware","15.3","140","320","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"District of Columbia","19.7","260","610","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); DC avg licensure fee $434 per IJ."
"Florida","28.7","180","420","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Georgia","15.7","120","275","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Hawaii","26.6","305","710","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); highest-burden state per IJ (avg fee $506, ~972 days education/experience)."
"Idaho","22.8","110","260","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Illinois","24.7","170","395","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Indiana","14.9","95","225","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Iowa","33.3","90","215","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); Iowa had the highest licensed share (33.3%) in the WH report."
"Kansas","14.9","95","225","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Kentucky","27.8","170","395","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Louisiana","22.3","200","465","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); licenses the most occupations (77 of 102) per IJ."
"Maine","20.7","135","315","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Maryland","17.2","175","415","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Massachusetts","21.3","200","465","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Michigan","20.6","170","395","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Minnesota","15","145","340","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Mississippi","23.1","205","480","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Missouri","21.3","115","270","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Montana","21.3","190","445","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"Nebraska","24.6","55","130","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); Nebraska had the lowest avg licensure fee ($92) per IJ."
"Nevada","30.7","435","1020","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); Nevada highest licensed share (~31%) and highest avg fee ($727) per IJ; alarm-installer fee ~$1,036 cited in WH report."
"New Hampshire","14.7","125","295","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
"New Jersey","20.7","165","390","Pct licensed: WH 2015 (Kleiner & Vorotnikov Harris poll). Fee band estimated from IJ 2022 state avg licensure fee (low≈0.6×, high≈1.4×); verify current fees with state board."
